sentiment,text
positive,"I've had the All-top compressor for about a month. I have only used a few times but so far, I'm impressed! It inflates tires quickly, a lot quicker than any portable I've had before. It does get hot but any portable compact compressor does. Seems well built."
negative,Lasted about 3 months.  Broke cheap pos
positive,Easy to install..and works great
positive,Very easy to install
positive,I use these on my boat and they've been out in all kinds of weather and they work fine
positive,They work.
negative,"After looking up and ordering for my daughter's 2009 honda civic, disappointed that it isn't high enough. One of a few birthday presents. Fail"
positive,The compressor is very noisy  but it works
negative,"Bought to save power in RV.  Touchy to install, as I had to bend out the wires on re-install several times to get a good connection.  The emitted light was noticeably more /bluish than OEM filament lights.  Maybe as bright or a little brighter, but not at alla pleasant color for indoor use."
positive,"We have been &#34;managing&#34; for two or more years with having to lift the back hatch (door) of our minivan. I've held it open with my head while my hands put boxes in the back.<br /><br />Now, no need for any herculean efforts! I loved it that Strong Arm sent me an email with video. The video helped me understand what I was going to be facing. I even got customer support, by phone, for a question in the middle of the replacement job."
positive,Great
positive,"no issues, works well. thanks"
positive,"Installed this item on my 1997 F250 Diesel, that would not start on cold mornings without plugging in the warmer for about 2 hrs.  Installed this switch in about 5 minutes.  Solved my cold morning start problem."
positive,Great product and fast delivery. Look forward to next time
positive,Well made and look good too.  They work perfectly for running my 12v deep cycle batteries in parallel on my RV.  Very happy.
positive,"I can tell this is good wax, but what a pain to remove. Don't wait for it to dry, remove it pretty quickly after application."
positive,very nice
negative,I have been trying to install them for weeks. They just don’t work on my Jeep Renegade.
positive,"Bought these, and yep, they are some nice shackles. they work great and got me out of a hole. remember kids, never use tow straps with hooks on them. use tow straps with these."
positive,"I used to throw a towel over the seat to keep from sweating on the seat after a workout.  I now use this product.  After a week or two I throw it in the wash.  It fits the car seat reasonably well for being a ""universal fit"".  The only downside is the rubber backing (essential to stop sweat from reaching the seat) also results in your back sweating even more (like wearing a rubber suit would do)."
positive,Easy to install and the adhesion is great.  They look like they came from the factory.
positive,great product fast shipping
positive,Large enough to keep an old man from falling & extremely durable.
negative,"If you already own a multimeter, you can look up on google/youtube how to use it to do the same thing, but better because you have actual voltage values and not just colored lights. This instrument does not do a load test - go to your parts store, they do load tests for free."
positive,"the sharpness of an air horn is not there, but it is distinct enough that surrounders know you are there, which is desirable in traffic."
positive,Needed for my husbands nebulizer - fine.
positive,"The guide it provided gave a wrong instruction for my vehicle, but the issue it created wasn't enough to keep it from working."
negative,They don't seem to stay in the seats very well.  I'm constantly adjusting them.
positive,If you do it carefully and right you'll be happy. It's amazing!
positive,"works great, the mitt makes cleaning so easy and the guard really keep dirt at the bottom"
positive,"Bought this many times and never had any issues, dont take a chance and try to save a few bucks cuz it could cost you big."
positive,Instructions were easy to follow and the old struts were easy to remove. The new ones clipped right in and I immediately saw a difference.
positive,"Definately Navy and Yellow, not gold. Picture looked like gold color to me."
positive,Used on a 2012 Chevy Sonic
positive,Use a work on small engine
positive,"This was a great purchase. Not only did the light assembly fit exactly like the original, but it also came with bulbs! I saved myself over $200 by purchasing the assembly this way and not through Jeep and by installing it myself (quick YouTube video). I recommend this product!"
positive,Well packaged. Arrived intact. The application and fit was good.
positive,Good fit
positive,"What can I say, ACDelco - original part.  Great price, install was easy.  Check Engine light came on the day after I installed it - but I hear that is common.  Independant testing rated this better - for particle protection - than K&N, so I'm good with it."
positive,Best thing I ever bought for my Ford. I have a 2018 Ford F150 XLT 5.0L. I wanted to do my own oil change and found out that it will be super messy. I watched a few videos and everyone of them were messy. Someone said twist the yellow plastic drain plug (which I will never understand why plastic) and slowly twist it til the oil slowly comes through. Then hold it for 2 minutes. Doesn't work. I suggest hold it longer than 2 minutes. Like 5 minutes. I know to long but will be less of a mess. Anyway. Bought the Ronin because I've seen videos and many people recommend it. The price is high but it does exactly what it is designed to do and the name is pretty awesome (Ronin). The material is made of billet and you can never go wrong with that. It is only made for Fords that have the dreaded yellow drain plug. I recommend it to anyone that does not what to continue to have a mess. Buy it. You will be happy you did and it looks pretty great when it is installed.
positive,"I love these things. Ours are mainly used for drying dogs after winter walks in BC Canada. They're very absorbtive, if that's a word. Our front loader washer usually has a small puddle of water in the door seal, which gets to smelling old and moldy. Sticking one of these in the seal 'pool,' and letting the end hang out of the opening, wicks away the pools and evaporates the water. Presto change-o no moldy smell."
positive,Great! Fits great and gets the job done!
positive,This set up is great. Comes with everything you need for the job.
positive,"Fits 2011 dodge Journey well no problems, fast and easy"
positive,This device worked first try on my 2004 Audi A4 1.8T Quattro 6-speed manual. I use the Torque app on my Motorola Razr HD.
positive,"High quality filter, first my 2018 civic perfectly. Will definitely be purchasing again."
positive,Motorcycle
negative,"I’m surprised that this has so many good ratings. I purchased two of these and I’m really disappointed. The padding in the middle is supposedly for the back, but it hits myhips instead, so it has the opposite effect that it’s supposed to. Essentially, my hips are being pushed forward, creating a flatter back than a normal cover. I already tossed the original packaging so I can’t even return them. Lesson learned!"
negative,"Battery was too low to charge, sometimes the charger said charged, sometimes the charger said bad battery. I know the battery is weak, that's why I wanted a charger...."
positive,"This decal comes with standard paper backing plus a clear covering, which makes it very easy to apply without bubbles or trouble.  Looks just right on my Lotus 7 roadster project.  Shipping was reasonably fast, but two days later than an Amazon fulfilled item ordered at the same time, and the seller offered no tracking information."
positive,Fits perfectly. Leaves room underneath for taller items. Glad I got the cheaper one because it’s perfect.
positive,Fits my Nissan Sentra 2009. There is a strong rubber smell when you open the package but goes away after a day or so. Very thick and stay in place.
negative,"They cut the bag open, charged me for 4 pens, and sent me one pen. Not a good deal at all. Inaccurate description. Sending it back."
negative,Missing clips to hold the tag on the tag holder.
positive,Everything in my SUV said I needed a new catalytic converters. 3.6 v-6  GM engine 138k miles. Changed out the o2 sensors reset the codes. Added a can to a full tank of gas twice. Reset the codes again. Engine purrs like a kitten & no more engine light codes for the past month.
positive,"With cold engine, used a turkey baster to suck-out about a 1/2 pint of antifreeze mixture from the top of my radiator -- mashed-up 4 of the tablets (I have a 2 gallon cooling system) in hot water (per instructions on stop leak product)... once completely dissolved, I poured the hot water/pellet solution into the radiator, and replaced the cap -- ran engine until hot per the instructions on the stop leak product --- within several days, no more antifreeze smell coming from the engine after we stopped and parked -- seems to have worked well.  The radiator tank has stopped loosing water on a regular basis.  RB"
positive,i love this parallax adjustment wheel .  this a game changer for me.
positive,Figured it out easy enough. Did not however have instructions. Metal seems a bit cheap - dented in when screwing in.
positive,"so far, great"
positive,"wow, this arrived so quickly and is so sturdy and well made.  I mean, it has to be for what it's designed for, but you never know with online ordering sometimes.  Part of what attracted to me to this set was mostly the price, but also the various well made caps and coverings for when this is not in use.  Also, I'm sure the detachable key parts will come in handy for those looking for a theft deterrent.  I am not using this for an auto project, so it will be visible in my application.  it's silly, but i also bought this because the keys come in different colors and you get all of them.  So great that it matches my set up, even if its just a battery disconnect.<br />."
positive,Ok
negative,"out put hose is not long enough to fit into the receiving tank on most cars while the 5 gal can is sitting on the ground.  I had to use 2 milk cases(about 2 ft) to lift the gas can off the ground so hose would fit into the tank on my Jeep Liberty.  Not sure why unless they expect you to hold a 40 lb gas can up against your car with one hand while putting the hose into the tank with the other--stupid! And it leaks! And it leaks!! not sure where but you may end up with a puddle of gas on the ground!  As it leaks, it will empty the gas can into the gas tank in a few minutes(just stand aside so your shoes don't get wet with gas!  So, I guess it works with all its failings but I would not recommend."
positive,"Gear shifts are much smoother - I no longer experience the jerks when the box changes gears. And I haven't been using cheap oil.<br /><br />Temperature of the gearbox seems to be about the same - I don't think I experienced any drop in temps as claimed by some, but this is just using my &#34;hand&#34; sensor."
positive,"This arrived as promised and is consistent with the description. I am just starting to use the trash can, so I have not had any issues with leaking. Additionally, I am using a small plastic bag in the trashcan to avoid messy clean-up. The biggest issue was that I could not attach it to my console easily, so I just sat it behind the console. If it doesn't work in the current location, I can hook it to the back of one of my seats."
positive,This is out second set. We bought them for the front of our jeep and when we put on a new back bumper we bought the same ones. They are great. Very sturdy and no rust.
negative,This is the model number and item according to the website and it did not even come close to working. Needless to say that was money lost!!! Someone needs to double-check crap before it is posted. This was extremely misleading!!!
positive,It was a perfect fit. Everything was just as advertised. I would definitely use this company again.
positive,"Easy to install. (Do be sure to unplug the washer first!) Remove the old module, then connect the new one. You’re done!"
positive,another layer of security
positive,All good
negative,"They're alright, and certainly acceptable for the cost.  No polarization though; you'll get the glare."
positive,"***Original Review from 3/31/14***<br />Solid roof rack, I trust it to hold in place and it held up well on a 3 hour drive each way to the ski mountain. The positioning of the stands was a little difficult to understand from the directions and I was not able to match their spacing on the back rack. A little adjustment though and it works perfectly. Seems pretty easy to remove and reattach. Docking one star because of the difficulty in initial configuration.<br /><br />***Update 8/6/18***<br />I have been using this roof rack for over 4 years now to carry a Thule Ski box during the winter and our two 16' sea kayaks in the summer. The first couple of years I only left the roof racks on the car when they were being used. For the 3rd and 4th years I got lazy during the winter and left them on until the spring. This caused one side (the passenger side under the ski box) to corrode the screws and now the attachment points are stuck and can't be loosened/tightened. The other side still adjusts so it can be attached/removed, just with more difficulty. I have definitely used and abused this roof rack and it has held up pretty well. Overall I would recommend this rack to other Prius C owners."
positive,well made
positive,Great fit for a 2021 Mazda CX-5. Nice looking and great value. Would definitely buy again.
positive,"Nothing bad about it, but another seller was a let down since the handle that came in broke but this one works great, probably a little touch up of can spray paint to color match the car, and boom! perfect."
positive,Awesome products
negative,"Needed something to get me to 12-14psi, 15 max. Adjusted all the way out, I can only get pressure down to 33psi. Probably excellent for people who need a constant 60psi for a Sniper or something, but not really for lower pressure (no way to get it anywhere near 0-psi)."
positive,Perfect replacement bolts for my YUASA battery.
positive,Works well
positive,"Works great! Keep in mind that it's a one time use (it couldnt be resealed). So if you have a bunch of things that need to be glued ~ now is the time!<br />There probably IS a way to close off each tube, but I didnt want to risk it.  Just toss it."
positive,"Belt fits my truck and runs quietly.  We'll see how long the belt lasts . . . replaced original at 112,000 miles.  Never changed a belt before and it took approximately 1 hour by myself because I removed the skid plate below . . . looked easier than trying to change from above.  Probably could have finished in 20 minutes if I had changed one before.  I also recommend buying one of the long bars for changing belts (can attach socket to it) . . . made the job much easier."
negative,I DID NOT REALIZE THAT THIS WAS FOR -ONLY A CAR DRY SHINE.?? -SO IT IS ONLY FOR A CAR.
positive,"I’ve had these brake lines installed on a 1996 F250 for about a year and they’ve performed perfectly. I’d consider myself “somewhat handy” and it took me a couple hours on Saturday & Sunday for back-to-back weekends to install all of them. They’re pretty stout and stainless steel should hold up for awhile but I can’t really speak to the durability.<br /><br />Overall, get these for $190 and never hafta worry about brake lines agin. I’ll be buying a set for my Bronco soon."
negative,Fit just fine.<br />But only lasted 15 months. ABS wires both broke off after 11 months.<br />Would not recommend at all.
negative,Finished instructions and there is no strobe. Returning. Nice size and brightness just wish they did what they said they do.
positive,works
positive,Fits very well and really comfortable to ride in.
positive,"I have a 17-year-old Dodge 3500. Recently when I went to charge the batter the hood support struts gave out and the hood slammed down onto me, nearly breaking my arm. Not an experience I'd like to repeat. Even though I changed out the struts, I picked this up as an extra safety measure. It's small, easy to use, and fits in my glovebox so it'll be available whenever needed. It comes with a paper warning ribbon so that you won't forget to undue it before closing the hood, which is nice, but would have had more utility if it were something more robust like plastic or cloth, but I can remember to remove it easily enough so that's not a problem for me. The only real downside is that when tightened down it does scratch the surface of the strut. If they put a rubber coating on the end of the bolt I'd give it 5-stars in a heartbeat. Nevertheless, I'm glad I got it."
negative,I agree with the other reviewer that noted this filter is somewhat flimsy in its construction.  The rubber seal around the edge looks like it could pretty easily fall off.  The only reason I didn't give it fewer stars is because the OEM filter it is replacing was also pretty flimsy.
positive,installed in my 12 bolt type O rearend
negative,I am very suspicious of many of these reviews. Most of them do not even state which model (weight capacity) they purchased.
negative,Mine failed despite having never touched/used the convenience nut. I started noticing a burning smell from down below and it led me to the leak. It caused a bit of mess there.<br /><br />This one's a 'Do not buy'
positive,This thing saved me a ton. Break lights didn't come on. Works perfectly now. As side from that my transmission is switching to the low gears again. Apparently this switch sends a signal to the transmission to downshift. I didn't know that so 2 birds with one stone. Highly recommended.
positive,fit easy
negative,"The adhesive on this shield is Super-weak. I put it on the hood of my car which it's made for, and it fell off on my way to the store, just after mounting. Luckily, my daughter discovered it while riding her bike. You're going to need to use some JB Weld or another adhesive if you'd like to keep this on your vehicle."
positive,"I bought this to check my tire pressure and after it said the PSI was 20, 15, 17 and 18 I for sure thought it had to be faulty because my air pressure couldn’t possibly be 15 when the recommended is 32. To check the accuracy, I took the pressure on my grandma’s SUV because her car tracks the PSI and I just filled it up last week. I test hers, 31.8, 31.8 32, and 31. I check what her car says and lo and behold, all the tires are at 32 so it was exactly right and .2 off so on one hand I’m happy with the accuracy but on the other hand I’m a little floored that the tire pressure on my car really is 15. This little thing works great and reads super fast."
negative,"On the plus side, this is easy to apply. It has a semi-thick cream consistency that spreads easily and, if applied with a sponge or foam applicator (not included), can easily get into any nooks and crannies in the rim, or any other metal object being polished. There is no objectionable smell. The bottle has a wide-tipped applicator nozzle that dispenses an ample amount but not so much that it gets wasted or makes a mess.<br /><br />The hard work comes when removing it. It takes a lot of elbow grease to get the polishing compound removed completely. I used a micro fiber towel (not included) and, while it was nice to see all the black gunk that the polishing compound was removing from the rim, it took 10+ minutes and two towels to completely remove the polish.<br /><br />The end result was nice -- a sparkling shine. However, I can get the same level of shine with other rim polishing products with a LOT less effort.  While I can't fault the end results, it's not a product I would get again since I can get the same results with a lot less work. As it is, I gave up after two wheels since it was so much work.<br /><br />This might be a good choice if you have an electric buffing wheel to cut down on the amount of hand labor for polishing. But, if you're applying and removing by hand, this is not an ideal product unless you are willing to put in a fair amount of work."
positive,dosent fit flush maybe with a few tweaks
positive,I love it.
positive,Does a great job.  Display could be brighter hard to rea in bright light.  Otherwise it does an excellent job.  Add 7-8 lbs in 3-4 minutes automatically.  Displays pressure as it is added.
negative,feels loose when I assemble and it does not work
positive,works great
negative,"Would probably work great if it wasn't for the poorly made air hose screw-in tube tip. You have to quickly unscrew and remove it after you've inflated the tire, and there's pretty much no way to do that quickly enough to not lose 10 lbs. of pressure while you are doing it. What happened to the old style that had a flip top that prevented leaks? I had one of those for 10+ years and loved it. This one is a piece of junk. Just not at all practical. You have to over-inflate the tire tube by at least 10 lbs to get it where you want with the leakage, which puts the tube at risk of popping."
positive,Part works perfectly at a very good price. My 26 year old daughter installed by herself with no mechanic experience.
positive,These bulbs are bright and fit perfectly for my application in my Chevy Cruze.I have had no issues with DOA however I have not used all of them. I would recommend them for the price and quality. Your car will look personalized. My issue was with shipping and that is covered under that review. This is a great product and I will buy more from them for my other vehicles.
positive,Smell is very strong
positive,"Great cov we r for your luggage, fit perfectly and keeps you luggage from getting scuff marks as it goes through the airport terminals to final destination.  Highly recommend for protecting luggage."
positive,"Product was perfect for what I needed.  However, thanks to You Tube for have a video showing the need to pull the headliner.  Overall I would have gave it a 5 star, but I think it was a little pricey."
positive,Nice.
positive,works great
positive,"Fit my truck perfectly, very easy to install. Folds up and down easily, protects bed in all weather."
positive,"I really like the center tray for the info center! This tray is perfect for getting phones and other things up out of the way and keeping the area clutter free! There are some sizing issues with it though (see photo). However, that is not a big deal!  The arm rest console tray seems to be a little bit of an afterthought. It is quite deep and has a lot of play inside the console. There also isn't a good grab handle to lift it out of place. The instructions for the Velcro was quite lacking.  However, I will try to use both for a time to see how I like it. Overall, not too bad of a purchase because it provides some needed storage organization to the Rav4! My wife will like them both for sure!"
positive,I could gave more stars!!!Excellent.I look's more better than the picture. I purchase one back on 2015...and it still works!!
positive,I bought this to keep the water lines clear at the barn. Frozen lines is no fun! I have only used it once but it is easy to use. I blew out a huge chunk of ice the first time I tried it! I anticipate that it will prove to be a good investment and time-saver!
positive,Fit my Black & Decker trickle charge perfectly. Good medium duty cables
positive,Driven about 500 miles since installation. Works flawlessly so far. I dig having this ECM in my car.
positive,Sticker is of great quality so far. Arrived earlier than expected
positive,What a simple idea that works very well.  Takes 5 minutes to install (no tools needed) and lifts the back shelf every time I open the trunk.
positive,"Awesome product, and easy to program."
positive,It works and it's a perfect fit.
positive,I bought this at my son's request.  He is happy with it.  It does the job.
negative,"This is the fourth Metra Dash kit that I have installed.  I have been pretty pleased with the other ones (Lexus GX 470, Toyota Celica),  but this kit is really awful.  As others have mentioned,  you will need to remove  the center bar on the trim ring.  Really?  It would have cost them 2 cents to throw in another ring without the bar.  Instead I spent 15 minutes filing it down with a Dremel trying not to make it not look like aftermarket junk.  Nearly every piece of plastic in my kit was badly warped.  Nothing wanted to snap together and stay together.  In the third picture you can see where the bracket snaps into the surround. The male piece was square and too large to seat properly (only on one side though).  I used some end cutting pliers and a Dremel to cut it down.  The Faceplate was badly warped (see pics).  I ended up using a heat gun to straighten it out the best I could. Like others mentioned, I had to cut the bottom of the mounting bracket (behind the faceplate)  in order for my Binize Double Din Android to fit inside the mount.  I cut and hacked at this thing for hours.  What should have been a 35 minute job took me nearly three hours to get it to the point where I would not be embarrassed by someone asking my daughter who installed her stereo.  I looked around at other kits, and don't think any of the other ones would be any better.  I would definitely pay $50 or more for a good kit, unfortunately it looks like we don't have many options for this old girl (we've owned her 15 years - my car handed down to my daughter).  I cannot imagine a stereo shop using one of these for an install. The labor required to make it fit would kill them.  The unsatisfied customers would put them out of business.  So sad this wasn't as good as their other kits.  I hope this review and my pics help you out."
positive,Seems well made so far
positive,Good cheap tire pressure guage
positive,Love it
negative,I always replace headlight bulbs in pairs.  One of them already burned out after just 6 months.
negative,"We have tried to use this serveral times because of the winter months, when static electricity is present due to the dryness of the air. We have tried to put it in one hand or the other, tried to hold it while touching equipment..etc<br /><br />Both my wife and myself have been shocked every time we had it with us.<br /><br />Other than a neat looking keychain it does nothing for static electicity"
positive,I installed this on my 2009 Mitsubishi Galant which was very easy and fit. Stops the car with little to no pressure. And stop instantly. I was hesitant about getting them but once I got it for an amazing price and great quality it’s worth it. I recommend.
positive,good
positive,Perfect fit
positive,Like it. Does what I need and wanted.
positive,"This is easy to use, cleans fast and doesn’t smear windows."
positive,The window shades work fine.
negative,Just received this today only to find out that the 2014 Road King FLHR headlamp harness runs under the fuel tank. The harness provided in the daymaker kit is nowhere near long enough. I did not pull the tank to see how far or what type of connector it uses (if any). I’m pretty bummed that I have to return the daymaker.
negative,Has a very short range.
negative,"My '99 truck plastic handle-pull broke, I was convinced that the entire door handle housing was made of plastic.<br />I ordered this replacement 2 years ago and was not surprised that this unit was ALL plastic.<br />Two years later I'm finally getting around to this project and realizing that ONLY the handle PULL on the OEM part is plastic. The actual OEM housing is still made of Metal, just like the sturdier 1994 model.<br />Now I am having some serious concerns about how long this FULLY PLASTIC housing with a metal insert for the screws is going to LAST. 🙄<br /> I would highly recommend looking elsewhere or even getting the genuine GM part if necessary to get the metal housing.<br />This is not a job you want to redo every 6 months.<br /> I would even go further to suggest using a 1994 unit which also has the METAL handle PULL as well as the metal housing.<br />Especially for the driver's door which gets used the most.<br />Plastic is just NOT up to some jobs,<br />Sad...but reality.<br />UPDATE : Further into the install , the lock cylinder is backing out during installation. It hasn't even made it to actual use.<br />I'm going to try something mother said never to do...get super glue near a lock cylinder.<br />Also having a problem with the rubber seal is seems to be too small to surround  the outer rim of the handle, like it needs to be stretched.<br /> Once again, another one-shot superglue was necessary to hold the seal in place, at least for installation.<br />This is probably one of my 3 worst purchases from Amazon in 20 years.<br />If a metal housing is not going to holdup, how long is a plastic housing going to last??<br />My neighbor has a 2013 GMC, his door handle must be full plastic. It's been broken for at least 4 years (this is 2022). At least my metal/plastic  hybrid lasted for 19 years.<br />But the '94 is still like new!"
positive,great tires
positive,great
negative,It covers up the state name on my license plate which is illegal so I can’t uss it.
negative,"First off at one third of the cost of an OEM you can not expect perfection, that being said: you bend the three support arms which mount to the hood. Do the center first, temporarily bolt on to determine which way to bend the other two. Do one of the outside, bolt on, then check the third. Take your time and I used my vice to get the bends perfect. Also the 3 holes drilled for the hood latch release were way off. I drilled new holes right through and used # number 10 bolts with washers and nylocks as opposed to the self tapping design Mopar. Expect to spend around 90 minutes making this bracket fit perfectly...Still at the price point it is worth buying if your OEM bracket has rotted away."
positive,This is the only 3 gallon container that I could find.
positive,Works perfectly with separate Rhino cross bars I ordered.
positive,It’s not easy to fold and store.  I do like it’s shade it give.
positive,"Works well, easy to install, holds up well (so far)."
positive,good item
positive,I purchased these windshield washer replacements for my 2009 Saturn Outlook.  They were extremely easy to replace by myself. Would recommend.
positive,Works perfectly
positive,Heavy material. Look really nice.
positive,Good
positive,"So as mentioned in other reviews, I have to agree and comment that the zippers are indeed very stiff and somewhat difficult to zip when on top off the roof. That said, it was 100% waterproof as we drove through several hours of pounding rain as we headed toward the Beach. We were able to fit two folding sport chairs, two boogie boards, a Beach umbrella, the Beach bag with 5 Beach towels, and a Beach blanket in the carrier. It is a tad smaller than one I borrowed last year. This carrier at 13 cubic feet is noticeably smaller than the 15 cubic feet units."
positive,No really! It works great!
positive,"Flimsy, hard to keep cover on"
positive,Lights were easy to install and are plenty bright!
positive,"it's not as thick as my last one but I'm happy with it. it's still not completely unrolled at the end, but it's getting there. I have a toolbox in the bed that used to fly around in there and bash into the walls, it hasn't moved since I put this liner in."
positive,"Old starter was struggling for quite a while, I was going to drive it until it was completely dead.  Low and behold it died on me.  It took me 20 minutes to get the old one off and 15 minutes to get this one in.  Started right up!  Have been running it for about two weeks in the cold weather we are having and there is no hesistation!"
positive,Buen material
positive,Perfect fit 2012 Kia Sedona
positive,Works as expected.
positive,Came fast and as described
positive,It's WeatherTech never gotten anything bad from them
positive,Great quality and easy install
positive,fit great
positive,"Just wrote a review for my HD sneakers, white, they get marked up easily because they’re white. This keeps my shoes looking great and I hardly notice it’s there."
positive,Put one on the left frt and one on the right frt of my car. i live in the south west and these domed decals are grt!!!<br />Better quality than I thought i would get.<br />I will buy all my domed stuff here.
positive,"I loved the product, and service.."
positive,This was bought for a 2007 SAAB 9-3 and it fit perfectly!
positive,[[VIDEOID:908638902c91cd52cfa2bbf4f6368c17]] I like how it organizes the cables making it easy to charge the car and unwind.
negative,Do not waste your money on these rotors or brake pads. Worst product I have purchased replaced all hardware pads and rotors they make more noise now than they did. There is no way these are balanced that’s a complete lie. I sound like a radio flyer wagon with no wheels coming down the road. It’s almost like every rotor is warped or not true the pads rub rotors while just rolling with no brakes. I did the whole break in procedure and that did absolutely nothing. So do not deal with this company I want a refund if I could give negative stars I would stay with OEM these are coming off and getting replaced also my rims are covers in dust because the rotors are not true or balanced like they say
negative,Never have i spent so much on plugs that will not work with this mushroom plug gun. So far three different sets of plugs with no success for a plug what works with the smaller tip. The small tip ID is .190 the OD is .250 Where does a person get the correct plug for this smaller tip?
positive,Bought these for my F150.  Love them.  I ski during the winter and spring and these are great for protecting.
positive,Convenient container for travel. One could use bleach and find a way to package themselves. For a few bucks I'll let them package it.
positive,I used this tool on a 97 4Runner timing belt replacement project. It made simple work of removing the tensioner. I followd the instructions and was pleased with the performance of the tool.
positive,Purchased for a 2005 colorado.<br />Popped in easy use a little water for lubricant.. gas door shuts like new again
positive,"These are the good media, surely does well with filtering soot particulates and all. But it isn’t US made which is a bummer, so I’ll probably switch back to Baldwin."
positive,Good product
positive,Great company. Love these stickers. Thank you.
positive,Easy to install. Allows you to still use the garage door opener.
positive,"Worked great out with the old  and in with the new ,"
positive,"Works perfectly, very happy."
negative,"Perhaps a year and a half old.  Worked fine In 2022, but won't take a charge for 2023.  Purchased another brand from WALMART, and so far, works great.  No more GOO LOO."
positive,"Fits surprisingly well, it's definitely not going to be a summer jacket unless you live in the North. The inner line is just a vest, wish it had full sleeves, but hey you get what you pay for.<br />I swapped out the CE Armor as it's only CE Level 1 and I had level 2. That said they actually put a back pad in, it's not armor but if you have a back spasm from a previous accident and need to pull over to lay down it comes in useful"
positive,"Bought a pair of these to run on my derby car. Mounted on 15"" gm rims like a glove to a hand."
positive,Ok price
positive,works and fit well
negative,wired wrong
negative,Steel good
negative,Thought they were brighter but they enhance my car to a fairly decent look. Well I guess that's it...cant see the roads at all in the night. I was told the HID bulbs done/blow/dead
positive,"This fit our Oregon plate perfectly to prevent the tags from being blocked. I like how it is snarky, but not as well. Perfect for our RV."
positive,"Great item! My only issue was that while i was driving, i could barely hear the person speaking to me."
positive,Heavy duty cable works for marine use.
negative,"Not actually imprinted on the frame, more of a sticker.  However, Brotherhood products did a GREAT job handling the issue."
positive,I love this stuff!!  Works great and love that it's clear and holds great!
positive,I ONLY USE FOR MY CAR FOR DECORATIONS
negative,"Dnot buy this part, it will bolt up and looks identical to the original part, but won't work right. The calibration test will fail with a code in system, I had to remove it and buy a factory part for it to pass the calibration check and operate properly.. buyer beware"
positive,Well made
